epoch,L,E,T,V,C,I,ci,logDetJac
23,-1.5797750977022664,0.9188271006584707,0.22796066916081592,-1.807735766863083,2.4986021983607376,0.9999808661213808,0.0,-0.20711828553807876
24,-1.579329906695555,0.7913928525731206,0.21207169882803412,-1.791401605523589,2.3707227592686757,0.999983646000028,0.0,-0.20233631684398415
25,-1.5727789578004197,0.990138590362706,0.17127014789496828,-1.744049105695388,2.5629175481631257,0.9999853405270723,0.0,-0.21040067857622113
26,-1.5696407346535692,0.64303721840547,0.18035349145714719,-1.7499942261107162,2.212677953059039,0.9999765825200135,0.0,-0.22894884400910567
27,-1.5873012457488904,1.1502334931609832,0.2546729634167523,-1.8419742091656426,2.7375347389098734,0.999971203896205,0.0,-0.23530403882894343
28,-1.5790177301793058,1.155404797073252,0.28075753539332265,-1.8597752655726283,2.7344225272525575,0.9999798590133148,0.0,-0.22880761182832138
29,-1.5876126515399756,0.9034607455780268,0.23295253829985285,-1.8205651898398285,2.4910733971180026,0.9999857303053835,0.0,-0.2209498331140335
30,-1.5889486266488824,0.8004512031851609,0.19077456393570827,-1.7797231905845907,2.3893998298340433,0.9999831771976859,0.0,-0.22678979018114956
31,-1.590060373954241,0.6166472818241033,0.1967276874845519,-1.7867880614387928,2.2067076557783443,0.9999799670328952,0.0,-0.23517873793815036
32,-1.5772526875881807,0.9636104812361148,0.22276225005509462,-1.8000149376432755,2.5408631688242957,0.9999810467611282,0.0,-0.2349855149653739
33,-1.5918280854680267,0.8986168752352905,0.21586331994319147,-1.8076914054112183,2.4904449607033174,0.9999867457800107,0.0,-0.2284351644224028
34,-1.5823424517197202,0.746114474565293,0.18235529310678827,-1.7646977448265084,2.328456926285013,0.9999853919853726,0.0,-0.2356002061241992
35,-1.5820244525826133,0.8427617263678366,0.20387771752525286,-1.7859021701078663,2.42478617895045,0.9999747253792742,0.0,-0.24946057201089072
36,-1.584679680930052,0.83718148041914,0.24640317229939507,-1.8310828532294472,2.421861161349192,0.9999717819099774,0.0,-0.25457301466212473
37,-1.5855676235252416,0.9578447971174919,0.2394597315012441,-1.8250273550264857,2.5434124206427335,0.9999798575661796,0.0,-0.24957647898392582
38,-1.5861981415765414,1.091218118574745,0.18656247400649267,-1.772760615583034,2.6774162601512863,0.9999821151498591,0.0,-0.2499603396073492
39,-1.5786702629985234,0.7592929774065393,0.16934766963108602,-1.7480179326296095,2.3379632404050628,0.9999743672578596,0.0,-0.2631904172162166
40,-1.5972295643403516,0.910069042995171,0.20795591382957046,-1.8051854781699221,2.507298607335523,0.9999692528700574,0.0,-0.2744579999354714
41,-1.5848352588669155,1.0417510360076438,0.25074252825506416,-1.8355777871219794,2.626586294874559,0.9999810463672686,0.0,-0.27471523790118213
42,-1.5974824252924194,0.8818674151617434,0.2352825292658108,-1.83276495455823,2.4793498404541627,0.9999849158218881,0.0,-0.2714069923454549
43,-1.5933645691175464,0.9852571264565826,0.2000518014948926,-1.793416370612439,2.578621695574129,0.9999744210099043,0.0,-0.2761989377722269
44,-1.598432689878258,1.1089481963459298,0.19565699746008244,-1.7940896873383405,2.707380886224188,0.9999732556594363,0.0,-0.2819556488054076
